region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
high,62.0,64.0,2637,14,2623,0.012098541037715682,0.31389856672177063,2.3269300751084856
high,64.0,66.0,2654,8,2646,-0.00044113810274049037,0.30616692963610426,2.269615449392441
high,66.0,68.0,2462,9,2453,-0.0036682602980521173,0.3197839031722296,2.370558074215738
high,68.0,70.0,2605,8,2597,-0.003892464959368347,0.3101932076242968,2.299462248118912
high,70.0,72.0,2583,21,2562,-0.0050983767320311735,0.33078865175809824,2.4521362754827822
high,72.0,74.0,2475,8,2467,-0.0001273092469875614,0.3341185098296129,2.47682051336692
high,74.0,76.0,2512,12,2500,-0.008119929346627863,0.3500723066934517,2.5950860095185573
high,76.0,78.0,2540,8,2532,-0.0002546074882874283,0.31114241728121894,2.306498739305676
high,78.0,80.0,2372,15,2357,-0.008458239239088172,0.33554813365099867,2.4874183147548528
high,80.0,82.0,2449,26,2423,0.0009465414427931584,0.32672399534142915,2.422004977466014
high,82.0,84.0,2311,20,2291,-0.011459973105878873,0.345685186516588,2.5625642876474664
high,84.0,86.0,2204,17,2187,-0.0015294983669629225,0.35706985622270127,2.6469588441788843
high,86.0,88.0,2171,28,2143,-0.0073307259180488415,0.38370160248944707,2.8443799792542714
high,88.0,90.0,2162,18,2144,-0.009446798296151249,0.3682795941951955,2.730056631768984
high,90.0,92.0,2308,15,2293,-0.0025099493337787937,0.3631267680963062,2.6918587318979177
high,92.0,94.0,2131,13,2118,-0.01119712122674299,0.36872748710125114,2.733376861881575
high,94.0,96.0,2114,14,2100,0.0056416009668982525,0.37303740366468663,2.765326273366322
high,96.0,98.0,1925,13,1912,-0.013751402153303172,0.3966903263984376,2.9406653895916177
high,98.0,100.0,1987,8,1979,0.0026876571009850636,0.40476453911996835,3.0005195284963255
high,100.0,102.0,1978,12,1966,-0.01428752072621009,0.4084184968995257,3.0276063175161836
high,102.0,104.0,1838,14,1824,0.0058748409650990485,0.3954966562861839,2.931816713049481
high,104.0,106.0,1872,13,1859,-0.016776504513273283,0.4193850548881246,3.1089014118856677
high,106.0,108.0,1769,14,1755,0.003605044768198784,0.4441134410201171,3.2922129382821277
high,108.0,110.0,1724,9,1715,0.0018054723804883377,0.44151846914018833,3.2729764117362157
high,110.0,112.0,1693,8,1685,-0.011314691088830209,0.44606570085257147,3.306685040420112
high,112.0,114.0,1638,10,1628,-0.005371968345431188,0.46033357232047,3.412452771611644
high,114.0,116.0,1734,13,1721,0.007241871682481138,0.4844627310706293,3.5913222254265746
high,116.0,118.0,1724,6,1718,-0.010556044773850637,0.501803289166272,3.7198677825895743
high,118.0,120.0,1666,5,1661,-0.0033016788450677126,0.5413779290885785,4.013234588333632
high,120.0,122.0,1578,8,1570,0.007455724279283427,0.5040619619932085,3.7366113242556547
high,122.0,124.0,1651,11,1640,-0.022258207128862395,0.5237796958910996,3.8827788856407213
