region,bin_source,sigma_switch_threshold,P_left,P_right,P_med,sigma_local,n,base_bin_count,bin_width,min_bin_samples,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
high,high_lookup,9.4,32.0,34.0,32.998413,0.48058033655735444,3325,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,34.0,36.0,34.964443,0.48131170578239396,3117,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,36.0,38.0,37.028632,0.47770569015417813,3096,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,38.0,40.0,38.984911,0.4816511922994741,3174,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,40.0,42.0,41.002445,0.4916288075408877,3137,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,42.0,44.0,42.986397,0.48153038097178913,3072,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,44.0,46.0,45.002981500000004,0.4749037562977961,3306,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,46.0,48.0,47.015556,0.4683940558670081,3223,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,48.0,50.0,48.990725999999995,0.46476251533805196,3180,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,50.0,52.0,50.975494,0.48592171960618347,3005,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,52.0,54.0,52.94599,0.4886665143870086,2774,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,54.0,56.0,55.01217,0.492486551199484,2913,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,56.0,58.0,56.974182,0.4820423599285763,2695,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,58.0,60.0,59.097042,0.482801460601225,2955,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,60.0,62.0,60.580878999999996,0.37007312756296706,5116,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,62.0,64.0,63.002857500000005,0.5087894912456892,2618,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,64.0,66.0,65.002985,0.5173284417532434,2644,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,66.0,68.0,67.01795000000001,0.5406024798269492,2448,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,68.0,70.0,69.00499,0.5424616476320042,2593,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,70.0,72.0,71.02815,0.5768368460933322,2557,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,72.0,74.0,72.979825,0.5632676632376645,2460,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,74.0,76.0,74.9854325,0.5880678506222331,2492,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,76.0,78.0,77.024376,0.5678300824233398,2531,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,78.0,80.0,78.992256,0.5850028959187433,2353,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,80.0,82.0,80.96518499999999,0.5753805538489045,2420,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,82.0,84.0,82.969525,0.6226547765397198,2282,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,84.0,86.0,84.94459,0.6084189468753071,2182,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,86.0,88.0,86.99228,0.6645225041075934,2140,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
high,high_lookup,9.4,88.0,90.0,89.01333,0.6494947018563529,2134,1,2.0,20,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
